mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4.54130043983,0.0797687530518,-0.599782794689,-0.567555320008,3,1,"{'max_depth': 3, 'min_child_weight': 1}",21,-0.605724816592,-0.565077096851,-0.595860102329,-0.569198543876,-0.602910238165,-0.567628966846,-0.592362995248,-0.568657769702,-0.602055821111,-0.567214222766,0.0563682937129,0.000708530496173,0.00491316833007,0.00142681051341
5.38890542984,0.097586774826,-0.599855027246,-0.567904430166,3,2,"{'max_depth': 3, 'min_child_weight': 2}",23,-0.605711619133,-0.566072249148,-0.596680936501,-0.569680758927,-0.602061170927,-0.568045817709,-0.592233371033,-0.568447283055,-0.602588038637,-0.567276041992,0.42815138968,0.00882969211111,0.00479167163371,0.001201813841
5.00201964378,0.088690662384,-0.599708517585,-0.568184166297,3,3,"{'max_depth': 3, 'min_child_weight': 3}",20,-0.605571863916,-0.565818875839,-0.596474878748,-0.570042550232,-0.602499616608,-0.568306849774,-0.592029932079,-0.569144078597,-0.601966296576,-0.567608477041,0.546714148512,0.0107405100471,0.00483081205238,0.00143639066958
4.97254400253,0.0904061794281,-0.600219702485,-0.568696730848,3,4,"{'max_depth': 3, 'min_child_weight': 4}",24,-0.606229985196,-0.566780936629,-0.596991919643,-0.570511750912,-0.602105876444,-0.568750833742,-0.593276108068,-0.569394591309,-0.602494623071,-0.568045541647,0.391447411908,0.00958684188631,0.00454947248902,0.00125527280254
4.65854263306,0.0845059871674,-0.599792932935,-0.568791414979,3,5,"{'max_depth': 3, 'min_child_weight': 5}",22,-0.605149952882,-0.566294134598,-0.596502075577,-0.570411644258,-0.602188245728,-0.568983066055,-0.592461957139,-0.569915232686,-0.602662433348,-0.568352997297,0.148076334643,0.00740169309175,0.0046312453394,0.00143898983032
7.25569357872,0.11766462326,-0.593460107213,-0.527076392626,4,1,"{'max_depth': 4, 'min_child_weight': 1}",15,-0.600064914664,-0.525357767525,-0.590621852053,-0.528927520047,-0.59489757908,-0.527092673843,-0.5869224651,-0.527606042472,-0.594793725166,-0.526397959244,0.0520273643297,0.000548522146522,0.00443316592148,0.00119343293541
7.24368972778,0.119739055634,-0.593222199992,-0.528280250833,4,2,"{'max_depth': 4, 'min_child_weight': 2}",11,-0.600519120993,-0.526635060476,-0.589578891334,-0.529843205184,-0.594519484134,-0.528651816702,-0.587441178885,-0.529527945892,-0.594052324615,-0.526743225908,0.0510006468605,0.00188368947918,0.00452351659984,0.00135696185569
6.33979859352,0.10462679863,-0.592523814134,-0.529269087928,4,3,"{'max_depth': 4, 'min_child_weight': 3}",8,-0.598383249696,-0.526997018541,-0.589124282011,-0.531814227772,-0.594553272255,-0.528532556542,-0.58717408044,-0.530542478982,-0.59338418627,-0.528459157803,0.698541509756,0.0141518816949,0.00398417858125,0.0017005896736
6.27659540176,0.102262639999,-0.5927526438,-0.530455868958,4,4,"{'max_depth': 4, 'min_child_weight': 4}",9,-0.600092093237,-0.528707599355,-0.590047234205,-0.532683762545,-0.59500484434,-0.529599166324,-0.584866780774,-0.531850950271,-0.593752266445,-0.529437866298,0.552356749039,0.0116954819051,0.00508812829005,0.00153208858278
6.62348561287,0.109653234482,-0.592837001538,-0.530759325764,4,5,"{'max_depth': 4, 'min_child_weight': 5}",10,-0.598398696693,-0.528830657669,-0.590543611648,-0.533261941593,-0.595187089751,-0.530262603663,-0.586378770213,-0.532348049505,-0.593676839386,-0.529093376388,0.666496103211,0.0131567851806,0.00410192843062,0.00176232856766
